HT,AT,TYPE,HTPTS,HTTWOFG,HTTWOFGTOTAL,HTTHREEFG,HTTHREEFGTOTAL,HTFT,HTFTTOTAL,HTREBO,HTREBD,HTREBT,HTAS,HTST,HTTO,HTBLFV,HTBLAG,HTFOULSCM,HTFOULSRV,HTPIR,ATPTS,ATTWOFG,ATTWOFGTOTAL,ATTHREEFG,ATTHREEFGTOTAL,ATFT,ATFTTOTAL,ATREBO,ATREBD,ATREBT,ATAS,ATST,ATTO,ATBLFV,ATBLAG,ATFOULSCM,ATFOULSRV,ATPIR,HTFQ,HTSQ,HTTQ,HTFQ2,HTFO,HTSO,ATFQ,ATSQ,ATTQ,ATFQ2,ATFO,ATSO,HTFQCUM,HTSCCUM,HTTQCUM,HTFQCUM2,HTFOUM,HTSOCUM,ATFQCUM,ATSCCUM,ATTQCUM,ATFQCUM2,ATFOCUM,ATSOCUM
Union Olimpija Ljubljana, Efes Pilsen Istanbul,OT,95,26,48,8,30,19,25,16,22,38,15,5,14,4,0,29,28,92,90,21,43,6,23,30,34,15,27,42,9,8,18,0,4,28,29,85,22,8,23,18,8,16,16,13,26,16,8,11,22,30,53,71,79,95,16,29,55,71,79,90
Partizan mt:s Belgrade, Khimki Moscow Region,FT,72,26,44,3,16,11,15,9,22,31,11,6,9,3,4,22,19,72,68,12,29,8,21,20,24,10,23,33,6,5,18,4,3,19,22,64,21,15,13,23,,,19,18,16,15,,,21,36,49,72,,,19,37,53,68,,
Maccabi Electra Tel Aviv, Zalgiris Kaunas,FT,86,31,53,4,12,12,20,12,18,30,17,15,14,3,2,22,19,94,70,20,33,5,16,15,21,9,22,31,13,9,26,2,3,19,22,69,25,22,18,21,,,11,16,24,19,,,25,47,65,86,,,11,27,51,70,,
Asseco Prokom Gdynia, Caja Laboral Vitoria,FT,73,22,51,7,17,8,9,10,23,33,10,6,8,1,1,14,9,69,80,18,38,11,27,11,12,13,29,42,20,6,13,1,1,9,14,103,15,23,16,19,,,20,21,21,18,,,15,38,54,73,,,20,41,62,80,,
Brose Baskets Bamberg, Olympiacos Piraeus,FT,73,23,42,7,16,6,10,4,26,30,12,11,11,2,3,21,15,76,61,13,28,6,28,17,22,13,26,39,9,3,16,3,2,15,21,61,16,18,16,23,,,16,12,19,14,,,16,34,50,73,,,16,28,47,61,,
Spirou Charleroi, Lottomatica Roma,FT,55,17,40,5,23,6,8,7,15,22,12,9,16,2,6,18,12,29,64,21,40,3,13,13,17,9,25,34,10,8,16,6,2,12,18,77,21,10,12,12,,,14,16,16,18,,,21,31,43,55,,,14,30,46,64,,
Real Madrid, Unicaja Malaga,FT,68,23,46,2,12,16,25,24,30,54,12,4,18,3,3,18,24,84,56,11,34,8,28,10,16,13,13,26,14,8,8,3,3,24,18,41,17,17,19,15,,,18,14,11,13,,,17,34,53,68,,,18,32,43,56,,
Cholet Basket, Regal Barcelona,FT,77,25,48,5,14,12,16,12,24,36,9,3,9,2,3,25,18,72,84,20,33,8,23,20,24,4,22,26,20,5,5,3,2,18,25,106,14,15,22,26,,,24,14,20,26,,,14,29,51,77,,,24,38,58,84,,
Lietuvos Rytas Vilnius, Montepaschi Siena,FT,75,25,39,2,16,19,22,8,26,34,13,9,19,0,4,22,20,75,79,25,45,6,15,11,18,7,23,30,15,9,16,4,0,20,22,87,21,18,19,17,,,15,24,21,19,,,21,39,58,75,,,15,39,60,79,,
Cibona Zagreb, Fenerbahce Ulker Istanbul,FT,68,21,41,6,20,8,10,8,24,32,10,5,16,2,1,23,20,61,73,22,36,5,21,14,21,8,24,32,7,7,15,1,2,20,23,69,19,21,11,17,,,19,23,16,15,,,19,40,51,68,,,19,42,58,73,,
Efes Pilsen Istanbul, Power Electronics Valencia,FT,79,20,44,6,14,21,22,13,24,37,12,8,12,0,2,20,21,90,63,19,45,4,15,13,20,17,19,36,13,4,16,2,0,21,20,57,14,20,23,22,,,16,13,16,18,,,14,34,57,79,,,16,29,45,63,,
Armani Jeans Milano, Union Olimpija Ljubljana,FT,72,23,41,5,19,11,14,12,18,30,13,7,12,1,2,20,17,71,76,20,33,9,20,9,14,7,19,26,12,2,13,2,1,17,20,78,16,24,18,14,,,16,16,28,16,,,16,40,58,72,,,16,32,60,76,,
Panathinaikos Athens, CSKA Moscow,FT,74,18,38,8,24,14,20,14,21,35,14,9,9,3,5,21,21,79,60,16,29,5,21,13,18,11,22,33,10,4,16,5,3,21,21,59,15,16,27,16,,,14,17,16,13,,,15,31,58,74,,,14,31,47,60,,
Khimki Moscow Region, Caja Laboral Vitoria,FT,64,21,40,5,18,7,13,6,23,29,11,8,9,3,3,19,19,65,60,17,36,4,16,14,19,10,29,39,10,2,16,3,3,19,19,59,11,18,24,11,,,17,14,16,13,,,11,29,53,64,,,17,31,47,60,,
Zalgiris Kaunas, Asseco Prokom Gdynia,OT,74,13,33,7,26,27,37,9,32,41,10,4,18,5,1,21,27,72,68,18,47,7,19,11,17,10,29,39,5,5,19,1,5,27,21,41,27,14,5,15,13,,14,16,17,14,7,,27,41,46,61,74,,14,30,47,61,68,
Partizan mt:s Belgrade, Maccabi Electra Tel Aviv,FT,54,14,44,4,16,14,21,15,23,38,9,6,18,4,5,25,29,43,67,16,33,7,17,14,23,8,30,38,15,11,17,5,4,29,25,75,10,12,15,17,,,31,20,16,-67,,,10,22,37,54,,,31,51,67,,,
Olympiacos Piraeus, Unicaja Malaga,FT,93,29,42,7,13,14,26,8,26,34,23,16,22,1,0,19,26,121,66,18,37,6,22,12,19,13,16,29,12,10,21,0,1,27,19,45,27,20,21,25,,,25,20,21,-66,,,27,47,68,93,,,25,45,66,,,
Lottomatica Roma, Real Madrid,FT,56,17,36,5,18,7,16,7,20,27,12,7,13,4,1,22,18,47,74,22,42,5,13,15,18,10,31,41,15,4,16,1,4,18,22,88,15,6,12,23,,,39,21,14,-74,,,15,21,33,56,,,39,60,74,,,
Brose Baskets Bamberg, Spirou Charleroi,FT,79,23,42,7,22,12,15,5,31,36,15,5,8,2,3,20,18,87,69,18,37,8,24,9,15,7,30,37,14,6,11,3,2,18,20,77,13,25,20,21,,,38,20,11,-69,,,13,38,58,79,,,38,58,69,,,
Regal Barcelona, Fenerbahce Ulker Istanbul,FT,61,20,38,3,19,12,14,8,29,37,7,2,10,4,1,19,22,67,69,19,42,5,15,16,24,9,28,37,9,8,7,1,4,22,19,69,13,15,17,16,,,32,12,25,-69,,,13,28,45,61,,,32,44,69,,,
Montepaschi Siena, Cibona Zagreb,FT,80,27,47,6,17,8,11,6,28,34,15,16,14,1,2,22,17,91,57,14,37,5,18,14,18,11,22,33,11,1,23,2,1,17,22,45,21,19,17,23,,,35,9,13,-57,,,21,40,57,80,,,35,44,57,,,
Cholet Basket, Lietuvos Rytas Vilnius,FT,73,16,41,5,18,26,38,16,30,46,8,4,19,3,3,24,31,69,69,19,40,5,21,16,18,6,25,31,11,5,15,3,3,31,24,55,16,21,16,20,,,33,16,20,-69,,,16,37,53,73,,,33,49,69,,,
Power Electronics Valencia, CSKA Moscow,FT,82,27,46,5,16,13,17,9,23,32,13,11,9,4,0,24,19,94,57,8,34,9,16,14,22,13,23,36,13,4,18,0,4,19,24,52,30,12,23,17,,,29,10,18,-57,,,30,42,65,82,,,29,39,57,,,
Union Olimpija Ljubljana, Panathinaikos Athens,OT,85,25,50,6,20,17,26,13,25,38,16,12,11,2,6,30,23,81,84,17,33,7,25,29,38,12,27,39,11,4,16,6,2,23,30,90,16,23,9,24,13,,22,6,20,24,12,,16,39,48,72,85,,22,28,48,72,84,
Efes Pilsen Istanbul, Armani Jeans Milano,FT,82,20,33,10,18,12,19,9,19,28,18,6,16,4,1,19,22,96,74,25,44,6,17,6,11,9,15,24,16,6,11,1,4,22,19,68,22,21,26,13,,,33,22,19,-74,,,22,43,69,82,,,33,55,74,,,
Khimki Moscow Region, Maccabi Electra Tel Aviv,FT,76,21,40,10,27,4,12,12,32,44,19,5,15,6,3,22,20,86,78,21,48,7,24,15,18,14,27,41,14,9,9,3,6,20,22,85,10,21,27,18,,,42,14,22,-78,,,10,31,58,76,,,42,56,78,,,
Asseco Prokom Gdynia, Partizan mt:s Belgrade,FT,62,15,39,5,14,17,23,13,23,36,7,7,18,1,4,26,19,45,69,18,39,5,15,18,29,9,24,33,17,8,11,4,1,19,26,84,18,18,15,11,,,39,13,17,-69,,,18,36,51,62,,,39,52,69,,,
Caja Laboral Vitoria, Zalgiris Kaunas,FT,88,21,39,10,27,16,19,8,13,21,12,6,7,4,3,25,19,77,92,27,43,6,19,20,24,17,26,43,9,5,16,3,4,19,25,105,22,19,22,25,,,43,21,28,-92,,,22,41,63,88,,,43,64,92,,,
Olympiacos Piraeus, Spirou Charleroi,FT,86,24,42,7,20,17,20,10,28,38,16,6,13,4,4,21,22,100,78,22,46,6,19,16,22,12,19,31,15,10,10,4,4,22,21,80,23,19,22,22,,,33,17,28,-78,,,23,42,64,86,,,33,50,78,,,
Real Madrid, Brose Baskets Bamberg,OT,83,25,52,3,16,24,30,17,27,44,16,9,11,5,4,18,29,107,81,19,38,11,29,10,13,9,25,34,14,6,14,4,5,29,18,69,14,23,18,18,10,,20,16,18,19,8,,14,37,55,73,83,,20,36,54,73,81,
Unicaja Malaga, Lottomatica Roma,FT,104,19,41,14,23,24,27,17,27,44,25,7,18,3,3,26,26,128,83,24,45,3,14,26,32,10,16,26,5,12,14,3,3,26,26,74,17,26,27,34,,,25,28,30,-83,,,17,43,70,104,,,25,53,83,,,
Regal Barcelona, Lietuvos Rytas Vilnius,FT,69,21,37,7,22,6,9,11,21,32,17,4,14,1,4,19,20,72,55,19,32,2,18,11,13,8,21,29,13,8,14,4,1,21,19,61,10,24,17,18,,,25,12,18,-55,,,10,34,51,69,,,25,37,55,,,
Cibona Zagreb, Cholet Basket,FT,71,23,42,4,20,13,16,13,20,33,13,6,12,3,3,17,21,77,84,27,47,9,23,3,8,15,25,40,16,7,11,3,3,21,16,92,20,20,18,13,,,46,17,21,-84,,,20,40,58,71,,,46,63,84,,,
Fenerbahce Ulker Istanbul, Montepaschi Siena,FT,81,17,31,9,24,20,28,15,30,45,14,6,17,5,1,24,26,98,68,13,37,9,21,15,19,6,18,24,12,12,11,1,5,26,24,59,19,21,18,23,,,34,14,20,-68,,,19,40,58,81,,,34,48,68,,,
Power Electronics Valencia, Armani Jeans Milano,FT,69,12,25,7,21,24,33,9,20,29,17,9,20,5,1,19,28,81,80,27,46,5,18,11,14,13,19,32,20,12,16,1,5,28,19,80,14,14,15,26,,,44,22,14,-80,,,14,28,43,69,,,44,66,80,,,
Panathinaikos Athens, Efes Pilsen Istanbul,FT,84,26,42,4,17,20,24,6,23,29,13,11,9,5,1,19,25,105,61,16,34,6,21,11,13,8,24,32,11,3,18,1,5,25,19,44,15,26,20,23,,,29,11,21,-61,,,15,41,61,84,,,29,40,61,,,
CSKA Moscow, Union Olimpija Ljubljana,FT,65,18,34,6,22,11,15,12,29,41,15,9,20,3,0,18,17,76,55,12,33,7,24,10,14,9,21,30,11,9,16,0,3,18,18,44,20,14,17,14,,,19,20,16,-55,,,20,34,51,65,,,19,39,55,,,
Zalgiris Kaunas, Khimki Moscow Region,FT,73,18,35,7,20,16,18,9,30,39,15,3,17,5,0,20,22,88,65,22,45,4,20,9,17,11,20,31,12,11,8,0,5,22,20,57,22,16,16,19,,,33,21,11,-65,,,22,38,54,73,,,33,54,65,,,
Partizan mt:s Belgrade, Caja Laboral Vitoria,FT,74,20,47,5,16,19,26,17,25,42,11,4,14,0,2,23,24,71,71,24,41,4,14,11,18,4,24,28,13,6,13,2,0,24,23,72,18,24,14,18,,,38,18,15,-71,,,18,42,56,74,,,38,56,71,,,
Maccabi Electra Tel Aviv, Asseco Prokom Gdynia,FT,99,21,36,15,32,12,20,13,29,42,21,13,10,2,0,18,18,127,58,17,38,4,18,12,17,8,21,29,10,2,20,0,2,18,18,37,29,19,22,29,,,31,16,11,-58,,,29,48,70,99,,,31,47,58,,,
Lottomatica Roma, Olympiacos Piraeus,FT,71,19,48,5,14,18,21,12,20,32,8,6,16,2,1,23,25,63,86,24,47,8,14,14,21,11,28,39,14,9,19,1,2,25,23,90,18,22,15,16,,,53,15,18,-86,,,18,40,55,71,,,53,68,86,,,
Brose Baskets Bamberg, Unicaja Malaga,FT,65,19,33,5,25,12,15,12,22,34,12,9,14,5,4,16,20,74,69,27,48,2,12,9,13,9,24,33,14,9,10,4,5,20,16,75,20,17,14,14,,,33,10,26,-69,,,20,37,51,65,,,33,43,69,,,
Spirou Charleroi, Real Madrid,FT,67,24,36,4,18,7,10,5,30,35,17,7,13,4,2,19,14,81,49,16,55,1,15,14,14,21,22,43,8,5,11,2,4,14,19,44,15,18,19,15,,,25,12,12,-49,,,15,33,52,67,,,25,37,49,,,
Montepaschi Siena, Regal Barcelona,FT,76,28,48,3,11,11,14,8,25,33,8,7,10,1,2,24,18,76,67,16,30,4,22,23,30,10,21,31,5,6,11,2,1,18,24,66,26,17,21,12,,,40,15,12,-67,,,26,43,64,76,,,40,55,67,,,
Cholet Basket, Fenerbahce Ulker Istanbul,FT,82,28,56,5,15,11,20,15,22,37,14,3,10,3,4,23,24,79,78,19,33,8,25,16,25,15,25,40,15,5,12,4,3,25,23,85,20,21,19,22,,,34,18,26,-78,,,20,41,60,82,,,34,52,78,,,
Lietuvos Rytas Vilnius, Cibona Zagreb,FT,90,26,35,11,26,5,9,11,30,41,21,5,17,5,0,22,15,110,62,22,41,3,17,9,15,6,15,21,9,8,13,0,5,15,22,50,23,15,23,29,,,29,9,24,-62,,,23,38,61,90,,,29,38,62,,,
Union Olimpija Ljubljana, Power Electronics Valencia,FT,72,14,31,6,22,26,34,11,26,37,11,12,20,0,0,26,26,71,68,16,32,3,15,27,33,6,21,27,9,11,20,0,0,26,26,61,13,22,19,18,,,32,18,18,-68,,,13,35,54,72,,,32,50,68,,,
Efes Pilsen Istanbul, CSKA Moscow,FT,86,21,34,10,21,14,18,8,26,34,21,9,16,2,2,20,14,100,72,20,42,6,15,14,21,10,16,26,12,7,15,2,2,14,20,70,26,22,15,23,,,35,25,12,-72,,,26,48,63,86,,,35,60,72,,,
Armani Jeans Milano, Panathinaikos Athens,FT,71,21,45,6,20,11,18,12,11,23,12,11,7,0,2,22,21,62,81,21,33,7,17,18,21,11,27,38,13,4,21,2,0,22,21,91,21,13,21,16,,,46,19,16,-81,,,21,34,55,71,,,46,65,81,,,
Asseco Prokom Gdynia, Khimki Moscow Region,FT,71,17,38,6,16,19,30,10,25,35,10,5,11,3,2,24,21,66,67,15,27,7,25,16,20,6,26,32,15,2,12,2,3,21,24,72,12,20,16,23,,,36,12,19,-67,,,12,32,48,71,,,36,48,67,,,
Maccabi Electra Tel Aviv, Caja Laboral Vitoria,FT,81,27,54,6,17,9,10,13,27,40,17,9,10,3,6,21,17,91,70,24,47,3,19,13,19,13,25,38,9,7,13,6,4,17,21,72,21,17,17,26,,,32,19,19,-70,,,21,38,55,81,,,32,51,70,,,
Partizan mt:s Belgrade, Zalgiris Kaunas,FT,68,20,39,5,18,13,15,7,26,33,16,10,14,2,1,28,20,72,62,18,39,2,11,20,29,6,27,33,11,7,14,1,2,20,28,67,23,21,10,14,,,29,14,19,-62,,,23,44,54,68,,,29,43,62,,,
Real Madrid, Olympiacos Piraeus,FT,82,21,47,7,16,19,21,11,26,37,16,6,11,3,2,25,26,95,68,18,49,4,16,20,24,16,24,40,10,3,15,2,3,26,25,57,24,18,16,24,,,34,16,18,-68,,,24,42,58,82,,,34,50,68,,,
Spirou Charleroi, Unicaja Malaga,FT,79,22,41,7,19,14,25,6,22,28,18,9,7,2,2,19,25,91,74,20,38,7,18,13,17,8,29,37,14,3,15,2,2,26,19,73,19,22,15,23,,,35,22,17,-74,,,19,41,56,79,,,35,57,74,,,
Brose Baskets Bamberg, Lottomatica Roma,FT,67,10,28,11,27,14,18,11,27,38,13,3,17,2,6,21,23,64,68,21,42,7,22,5,12,10,25,35,7,10,13,6,2,24,21,65,9,21,21,16,,,31,22,15,-68,,,9,30,51,67,,,31,53,68,,,
Cibona Zagreb, Regal Barcelona,FT,75,18,32,9,21,12,15,6,20,26,8,5,17,1,2,21,19,65,94,34,47,4,15,14,20,7,21,28,21,10,9,2,1,19,21,117,13,23,21,18,,,44,27,23,-94,,,13,36,57,75,,,44,71,94,,,
Lietuvos Rytas Vilnius, Fenerbahce Ulker Istanbul,FT,75,19,31,9,26,10,12,10,22,32,20,1,12,3,2,23,20,83,81,21,46,9,18,12,15,12,21,33,13,7,6,2,3,20,23,93,13,23,14,25,,,40,25,16,-81,,,13,36,50,75,,,40,65,81,,,
Cholet Basket, Montepaschi Siena,FT,61,20,46,1,11,18,24,20,23,43,15,3,18,3,4,24,21,58,70,24,42,1,10,19,25,7,20,27,12,8,11,4,3,21,24,77,18,17,12,14,,,33,14,23,-70,,,18,35,47,61,,,33,47,70,,,
Panathinaikos Athens, Power Electronics Valencia,FT,69,14,33,6,20,23,29,8,23,31,9,9,16,8,3,25,28,71,73,16,37,7,20,20,25,11,26,37,12,11,18,3,8,28,25,68,22,17,18,12,,,37,11,25,-73,,,22,39,57,69,,,37,48,73,,,
Armani Jeans Milano, CSKA Moscow,FT,71,16,36,6,19,21,28,10,26,36,9,4,14,1,2,28,24,61,65,15,35,6,19,17,25,7,25,32,10,3,18,2,1,24,28,56,11,20,17,23,,,28,17,20,-65,,,11,31,48,71,,,28,45,65,,,
Efes Pilsen Istanbul, Union Olimpija Ljubljana,FT,84,23,50,8,14,14,18,11,26,37,19,6,12,4,3,22,21,97,78,19,37,6,17,22,23,4,23,27,17,5,10,3,4,21,22,87,22,14,16,32,,,35,19,24,-78,,,22,36,52,84,,,35,54,78,,,
Khimki Moscow Region, Partizan mt:s Belgrade,FT,92,27,43,6,17,20,23,10,26,36,10,11,10,8,4,25,25,113,65,17,40,5,14,16,24,11,17,28,9,6,19,4,8,25,24,44,26,24,19,23,,,37,14,14,-65,,,26,50,69,92,,,37,51,65,,,
Zalgiris Kaunas, Maccabi Electra Tel Aviv,FT,68,17,27,7,17,13,16,5,29,34,15,6,28,4,2,23,16,67,71,23,46,3,16,16,22,12,15,27,15,14,11,2,4,16,23,79,21,13,22,12,,,35,18,18,-71,,,21,34,56,68,,,35,53,71,,,
Caja Laboral Vitoria, Asseco Prokom Gdynia,FT,75,23,44,4,20,17,22,10,21,31,14,5,10,4,4,18,22,77,81,23,46,7,17,14,14,12,25,37,11,4,14,4,4,22,18,82,24,15,17,19,,,34,21,26,-81,,,24,39,56,75,,,34,55,81,,,
Olympiacos Piraeus, Brose Baskets Bamberg,FT,86,27,49,6,18,14,22,10,36,46,14,6,11,5,3,21,23,103,69,20,42,6,24,11,16,8,27,35,14,6,11,3,5,23,21,64,18,30,18,20,,,34,17,18,-69,,,18,48,66,86,,,34,51,69,,,
Lottomatica Roma, Spirou Charleroi,FT,95,28,47,7,16,18,22,6,24,30,6,8,11,1,1,24,24,96,83,25,43,5,19,18,22,11,24,35,16,4,21,1,1,24,24,81,22,19,25,29,,,45,21,17,-83,,,22,41,66,95,,,45,66,83,,,
Unicaja Malaga, Real Madrid,FT,75,17,36,8,24,17,21,12,22,34,13,5,6,1,2,18,20,83,71,18,37,9,22,8,11,11,24,35,15,3,11,2,1,20,18,77,16,17,14,28,,,39,16,16,-71,,,16,33,47,75,,,39,55,71,,,
Regal Barcelona, Cholet Basket,FT,76,21,40,5,16,19,22,14,24,38,16,6,15,5,3,18,23,95,62,23,51,2,9,10,14,11,18,29,6,7,11,3,5,23,18,47,18,26,17,15,,,28,16,18,-62,,,18,44,61,76,,,28,44,62,,,
Montepaschi Siena, Lietuvos Rytas Vilnius,FT,90,25,49,9,16,13,14,14,20,34,18,12,17,3,4,22,20,102,72,21,36,5,21,15,19,12,14,26,9,7,21,4,3,20,22,61,31,17,20,22,,,33,18,21,-72,,,31,48,68,90,,,33,51,72,,,
Fenerbahce Ulker Istanbul, Cibona Zagreb,FT,100,33,57,7,17,13,20,13,32,45,20,7,7,0,1,20,22,125,70,20,40,7,25,9,14,5,24,29,14,2,10,1,0,22,20,61,30,19,25,26,,,29,22,19,-70,,,30,49,74,100,,,29,51,70,,,
Power Electronics Valencia, Efes Pilsen Istanbul,FT,62,17,44,3,17,19,26,15,29,44,9,9,11,2,4,14,19,68,56,15,44,4,18,14,17,13,30,43,12,8,12,4,2,19,14,58,14,10,19,19,,,28,20,8,-56,,,14,24,43,62,,,28,48,56,,,
Union Olimpija Ljubljana, Armani Jeans Milano,FT,82,22,40,3,18,29,34,12,25,37,12,8,10,1,2,19,27,98,75,18,39,9,18,12,15,6,22,28,17,5,12,2,1,27,19,73,21,21,9,31,,,32,25,18,-75,,,21,42,51,82,,,32,57,75,,,
CSKA Moscow, Panathinaikos Athens,FT,68,19,33,7,23,9,18,8,22,30,11,8,12,3,1,20,24,72,72,16,29,10,20,10,16,5,22,27,11,6,14,1,3,25,19,65,18,17,16,17,,,41,19,12,-72,,,18,35,51,68,,,41,60,72,,,
Caja Laboral Vitoria, Khimki Moscow Region,FT,89,29,46,7,16,10,12,9,19,28,14,5,9,2,2,22,19,96,81,21,36,8,19,15,21,10,18,28,12,5,12,2,2,19,22,85,27,20,25,17,,,37,18,26,-81,,,27,47,72,89,,,37,55,81,,,
Asseco Prokom Gdynia, Zalgiris Kaunas,FT,69,23,41,5,18,8,13,14,21,35,14,5,20,2,3,23,18,61,72,23,44,2,13,20,27,13,20,33,13,8,15,3,2,18,23,78,13,21,15,20,,,33,16,23,-72,,,13,34,49,69,,,33,49,72,,,
Maccabi Electra Tel Aviv, Partizan mt:s Belgrade,FT,76,31,50,1,10,11,20,9,25,34,11,11,12,2,2,22,23,84,62,18,40,5,19,11,19,15,25,40,12,7,18,2,2,23,22,58,23,19,18,16,,,24,16,22,-62,,,23,42,60,76,,,24,40,62,,,
Unicaja Malaga, Olympiacos Piraeus,FT,76,21,36,7,20,13,20,7,18,25,20,6,12,1,2,23,22,78,74,19,34,6,17,18,23,10,23,33,15,3,18,2,1,22,23,78,17,25,20,14,,,37,13,24,-74,,,17,42,62,76,,,37,50,74,,,
Real Madrid, Lottomatica Roma,FT,72,22,49,6,19,10,13,16,24,40,16,11,14,11,3,19,18,89,50,13,39,4,17,12,20,13,25,38,5,5,22,3,11,18,19,22,14,16,24,18,,,22,17,11,-50,,,14,30,54,72,,,22,39,50,,,
Spirou Charleroi, Brose Baskets Bamberg,FT,75,13,32,8,28,25,31,11,28,39,12,9,15,1,3,26,27,74,61,16,30,5,20,14,23,4,30,34,12,8,19,3,1,27,26,59,16,19,19,21,,,39,10,12,-61,,,16,35,54,75,,,39,49,61,,,
Fenerbahce Ulker Istanbul, Regal Barcelona,FT,69,21,47,4,14,15,19,12,20,32,12,6,8,1,5,21,20,66,75,24,43,3,12,18,20,10,24,34,17,6,11,5,1,21,21,95,14,14,23,18,,,40,16,19,-75,,,14,28,51,69,,,40,56,75,,,
Cibona Zagreb, Montepaschi Siena,FT,66,16,35,6,15,16,20,8,19,27,6,5,17,1,1,19,24,60,82,24,44,7,14,13,18,10,20,30,15,9,15,1,1,24,18,83,15,11,19,21,,,38,21,23,-82,,,15,26,45,66,,,38,59,82,,,
Lietuvos Rytas Vilnius, Cholet Basket,FT,92,28,44,6,14,18,23,12,20,32,14,8,13,3,4,25,21,99,80,29,53,3,12,13,19,17,14,31,11,6,15,4,3,21,25,79,28,22,22,20,,,41,21,18,-80,,,28,50,72,92,,,41,62,80,,,
CSKA Moscow, Power Electronics Valencia,FT,73,21,39,7,25,10,12,6,31,37,13,4,8,3,5,16,18,81,63,15,37,8,23,9,15,7,29,36,10,6,11,5,3,19,15,59,20,14,14,25,,,30,19,14,-63,,,20,34,48,73,,,30,49,63,,,
Panathinaikos Athens, Union Olimpija Ljubljana,OT,95,17,32,13,32,22,28,18,16,34,15,10,20,1,0,24,29,100,88,25,38,7,16,17,23,6,20,26,13,9,23,0,1,29,24,79,23,14,13,29,16,,17,16,21,25,9,,23,37,50,79,95,,17,33,54,79,88,
Armani Jeans Milano, Efes Pilsen Istanbul,FT,84,26,37,5,20,17,23,12,16,28,17,8,10,1,1,20,20,95,70,16,31,8,17,14,18,8,17,25,8,2,19,1,1,20,20,58,20,17,26,21,,,33,19,18,-70,,,20,37,63,84,,,33,52,70,,,
Maccabi Electra Tel Aviv, Khimki Moscow Region,FT,80,17,36,7,20,25,33,9,27,36,14,3,11,4,1,23,26,88,76,17,36,8,26,18,24,11,27,38,11,4,11,1,4,26,23,69,18,12,29,21,,,37,18,21,-76,,,18,30,59,80,,,37,55,76,,,
Partizan mt:s Belgrade, Asseco Prokom Gdynia,FT,61,18,42,4,23,13,23,20,23,43,10,5,10,6,5,17,21,61,59,15,41,7,16,8,12,12,27,39,10,4,14,5,6,22,17,53,15,12,12,22,,,26,15,18,-59,,,15,27,39,61,,,26,41,59,,,
Zalgiris Kaunas, Caja Laboral Vitoria,OT,89,26,44,8,27,13,15,11,21,32,13,8,13,4,2,20,16,88,95,24,45,13,26,8,12,12,25,37,27,7,19,2,4,16,20,111,16,17,27,20,9,,27,25,18,10,15,,16,33,60,80,89,,27,52,70,80,95,
Spirou Charleroi, Olympiacos Piraeus,FT,67,17,43,7,19,12,17,8,24,32,14,5,15,2,5,16,21,62,80,23,39,8,19,10,14,4,32,36,19,9,16,5,2,21,16,95,14,20,16,17,,,42,19,19,-80,,,14,34,50,67,,,42,61,80,,,
Brose Baskets Bamberg, Real Madrid,FT,82,15,36,11,20,19,22,7,23,30,19,4,7,2,4,24,23,92,75,23,41,4,22,17,23,17,22,39,13,4,8,4,2,23,24,84,20,17,25,20,,,31,20,24,-75,,,20,37,62,82,,,31,51,75,,,
Lottomatica Roma, Unicaja Malaga,FT,81,22,40,5,16,22,24,9,22,31,11,10,13,2,1,18,21,93,75,19,32,8,30,13,13,13,21,34,18,7,16,1,2,21,18,79,20,22,20,19,,,40,20,15,-75,,,20,42,62,81,,,40,60,75,,,
Lietuvos Rytas Vilnius, Regal Barcelona,FT,88,23,40,9,19,15,26,9,27,36,18,4,11,0,4,25,25,93,87,23,40,8,19,17,24,6,23,29,21,7,10,4,0,25,25,103,19,21,20,28,,,34,21,32,-87,,,19,40,60,88,,,34,55,87,,,
Cholet Basket, Cibona Zagreb,FT,81,25,52,5,10,16,21,15,27,42,21,7,13,3,0,20,15,99,65,16,41,6,18,15,19,12,18,30,9,3,12,0,3,17,20,54,22,16,21,22,,,33,19,13,-65,,,22,38,59,81,,,33,52,65,,,
Montepaschi Siena, Fenerbahce Ulker Istanbul,FT,94,27,43,9,23,13,15,8,25,33,20,12,12,1,1,22,18,111,65,19,43,2,11,21,23,11,19,30,9,6,19,1,1,18,22,60,27,22,23,22,,,30,19,16,-65,,,27,49,72,94,,,30,49,65,,,
Armani Jeans Milano, Power Electronics Valencia,FT,60,13,28,7,30,13,14,8,19,27,11,11,9,2,3,25,16,51,75,17,30,8,25,17,26,15,27,42,15,4,15,3,2,17,25,91,11,16,16,17,,,32,24,19,-75,,,11,27,43,60,,,32,56,75,,,
Efes Pilsen Istanbul, Panathinaikos Athens,FT,79,19,35,8,21,17,19,12,12,24,14,7,12,0,2,24,21,76,78,19,32,8,16,16,19,8,16,24,23,6,16,2,0,21,24,96,21,21,17,20,,,24,32,22,-78,,,21,42,59,79,,,24,56,78,,,
Union Olimpija Ljubljana, CSKA Moscow,FT,81,19,39,10,24,13,17,8,22,30,18,12,13,1,2,19,18,88,72,18,29,7,21,15,22,6,26,32,14,7,18,2,1,18,19,77,19,26,12,24,,,32,24,16,-72,,,19,45,57,81,,,32,56,72,,,
