HT,AT,TYPE,HTPTS,HTTWOFG,HTTWOFGTOTAL,HTTHREEFG,HTTHREEFGTOTAL,HTFT,HTFTTOTAL,HTREBO,HTREBD,HTREBT,HTAS,HTST,HTTO,HTBLFV,HTBLAG,HTFOULSCM,HTFOULSRV,HTPIR,ATPTS,ATTWOFG,ATTWOFGTOTAL,ATTHREEFG,ATTHREEFGTOTAL,ATFT,ATFTTOTAL,ATREBO,ATREBD,ATREBT,ATAS,ATST,ATTO,ATBLFV,ATBLAG,ATFOULSCM,ATFOULSRV,ATPIR,HTFQ,HTSQ,HTTQ,HTFQ2,HTFO,HTSO,ATFQ,ATSQ,ATTQ,ATFQ2,ATFO,ATSO,HTFQCUM,HTSCCUM,HTTQCUM,HTFQCUM2,HTFOUM,HTSOCUM,ATFQCUM,ATSCCUM,ATTQCUM,ATFQCUM2,ATFOCUM,ATSOCUM
Panathinaikos Superfoods Athens, Unics Kazan,FT,83,19,35,12,29,9,18,12,21,33,15,5,7,3,0,22,22,90,82,19,36,9,18,17,25,8,26,34,17,3,10,0,3,22,21,88,24,15,13,31,,,46,15,21,-82,,,24,39,52,83,,,46,61,82,,,
Real Madrid, Darussafaka Dogus Istanbul,FT,101,20,31,16,30,13,17,7,26,33,28,6,11,4,0,24,19,127,83,16,39,10,27,21,30,16,20,36,16,7,10,0,4,19,24,84,30,23,22,26,,,37,23,23,-83,,,30,53,75,101,,,37,60,83,,,
Galatasaray Odeabank Istanbul, Real Madrid,FT,87,19,42,14,28,7,9,12,17,29,25,9,9,3,2,16,17,104,84,18,31,14,24,6,8,7,25,32,22,7,18,2,3,17,16,100,25,24,24,14,,,46,14,24,-84,,,25,49,73,87,,,46,60,84,,,
Baskonia Vitoria Gasteiz, EA7 Emporio Armani Milan,FT,87,22,40,9,29,16,18,16,22,38,28,12,16,3,2,17,22,115,74,22,45,6,18,12,15,12,23,35,16,9,19,2,3,22,17,71,23,15,28,21,,,37,16,21,-74,,,23,38,66,87,,,37,53,74,,,
Maccabi FOX Tel Aviv, Olympiacos Piraeus,FT,71,23,48,5,15,10,16,8,22,30,14,4,9,2,1,21,16,65,82,23,39,7,21,15,17,10,30,40,15,3,13,1,2,16,21,99,13,19,13,26,,,40,18,24,-82,,,13,32,45,71,,,40,58,82,,,
Zalgiris Kaunas, Fenerbahce Istanbul,FT,67,17,37,8,20,9,10,9,23,32,19,4,14,3,5,20,17,70,76,16,28,12,28,8,9,4,23,27,22,10,9,5,3,17,20,102,17,14,17,19,,,30,25,21,-76,,,17,31,48,67,,,30,55,76,,,
Crvena Zvezda mts Belgrade, Brose Bamberg,FT,74,20,39,7,16,13,15,5,25,30,11,11,16,1,4,17,20,80,60,16,33,9,29,1,3,11,24,35,15,9,17,4,1,20,17,63,17,26,13,18,,,29,14,17,-60,,,17,43,56,74,,,29,43,60,,,
Darussafaka Dogus Istanbul, Panathinaikos Superfoods Athens,FT,77,24,45,7,16,8,12,8,26,34,11,8,8,3,6,21,13,77,72,11,27,13,30,11,17,9,25,34,16,4,12,6,3,13,21,86,17,18,18,24,,,33,20,19,-72,,,17,35,53,77,,,33,53,72,,,
FC Barcelona Lassa, CSKA Moscow,FT,61,11,26,11,36,6,8,11,18,29,14,7,20,1,0,19,19,50,85,25,40,8,18,11,14,8,26,34,25,12,15,0,1,19,19,112,4,20,23,14,,,48,18,19,-85,,,4,24,47,61,,,48,66,85,,,
Unics Kazan, Anadolu Efes Istanbul,OT,92,27,51,4,21,26,30,16,27,43,19,6,14,1,2,22,20,98,99,31,52,7,22,16,20,10,25,35,25,8,11,2,1,20,22,119,22,21,18,21,10,,22,27,20,13,17,,22,43,61,82,92,,22,49,69,82,99,
